85,114,225,12,0,136,0,67,255,236,223,191,1,147,0,237
85,115,211,12,0,127,0,51,255,236,223,202,1,151,0,233
85,125,248,12,0,241,0,61,255,208,223,212,1,56,1,2
85,126,67,12,1,28,0,72,255,223,223,209,1,60,1,6
85,136,94,12,1,18,255,253,0,38,223,201,1,123,0,249
85,137,117,12,1,4,255,239,0,77,223,199,1,116,1,13
85,138,107,12,0,245,255,230,0,87,223,214,1,108,1,11
85,147,2,12,0,219,0,33,0,14,223,176,1,50,1,41
85,148,249,12,0,201,0,27,0,3,223,195,1,53,1,45
85,152,144,12,0,153,0,22,255,223,223,209,1,23,1,46
85,153,172,12,0,167,0,26,255,227,223,206,1,37,1,41
85,163,184,12,0,204,0,62,255,189,223,208,1,12,1,41
85,174,211,12,0,189,0,105,0,16,223,192,0,243,0,255
85,175,212,12,0,192,0,101,0,18,223,191,0,252,0,247
85,176,196,12,0,187,0,93,0,13,223,197,0,254,0,241
85,177,201,12,0,175,0,92,0,14,223,199,1,5,0,248
85,185,184,12,0,149,0,48,0,84,223,213,0,238,0,241
85,186,189,12,0,177,0,60,0,72,223,200,0,215,0,254
85,190,245,12,1,1,0,23,0,32,223,153,0,198,1,113
85,191,146,12,0,255,0,14,0,27,223,131,0,96,1,155
85,192,40,12,1,11,0,12,255,229,223,102,255,236,1,239
85,193,8,12,1,47,0,6,255,175,223,118,255,182,2,12
85,201,97,12,3,36,255,25,255,103,223,182,254,110,3,172
85,202,142,12,3,210,254,226,255,84,223,156,254,72,3,182
85,206,187,12,6,102,254,47,253,144,223,181,253,123,3,122
85,207,153,12,6,228,254,14,253,34,224,7,253,89,3,56
85,208,132,12,7,52,254,11,252,245,224,76,253,57,3,222
85,217,88,12,7,204,255,70,253,217,223,247,252,213,255,184
85,218,145,12,7,31,255,69,254,14,224,71,252,183,255,54
85,219,185,12,6,163,255,88,254,5,224,52,252,140,255,15
85,223,44,12,4,32,254,142,252,177,225,21,251,182,255,29
85,224,23,12,3,129,254,143,252,28,225,157,251,42,255,64
85,239,245,12,253,140,0,7,252,109,219,6,247,101,1,178
85,240,126,12,253,64,255,233,252,42,221,28,247,252,2,57
85,241,127,12,253,53,255,225,252,56,221,169,248,224,2,205
85,0,150,12,255,213,1,125,0,200,230,77,251,82,4,236
85,1,160,12,255,217,1,164,0,53,229,221,251,53,4,236
85,5,145,12,254,234,1,208,253,135,228,98,250,57,4,203
85,6,110,12,254,199,2,19,252,200,227,127,249,131,4,226
85,7,196,12,254,224,2,36,252,69,226,192,248,236,4,233
85,27,77,12,1,136,255,224,2,192,225,55,249,181,0,81
85,28,233,12,1,21,255,184,3,3,226,7,249,219,0,77
85,32,96,12,0,166,255,74,3,245,228,166,249,80,0,154
85,33,93,12,1,30,255,145,2,143,229,1,249,164,0,142
85,34,43,12,1,59,255,247,1,227,229,113,250,28,0,157
85,38,178,12,0,204,255,209,0,29,228,77,250,17,1,176
85,39,2,12,0,207,255,202,255,203,228,37,249,252,1,149
85,40,228,12,0,194,0,56,255,103,226,101,249,212,1,99
85,41,227,12,0,140,0,152,255,75,224,165,249,139,1,95
85,54,226,12,254,214,255,35,0,180,219,213,251,41,5,83
85,55,240,12,255,19,254,229,1,111,220,22,251,193,5,204
85,98,252,12,0,26,255,74,253,53,229,226,251,110,0,43
85,99,16,12,255,241,255,105,253,21,228,244,251,37,0,162
85,100,5,12,255,210,255,38,253,20,228,69,250,195,1,11
85,101,116,12,255,223,255,17,253,62,227,162,250,170,1,21
85,109,57,12,254,245,0,165,254,157,222,139,249,170,1,237
85,110,156,12,254,114,0,228,254,238,223,101,250,68,1,205
85,111,21,12,253,183,1,103,255,112,223,110,250,190,1,120
85,112,77,12,253,131,2,76,255,203,218,65,249,68,2,79
85,114,50,12,252,126,1,48,254,111,221,95,248,168,3,47
85,115,20,12,253,111,1,56,254,51,220,142,250,38,3,165
85,116,113,12,253,144,0,243,254,97,219,208,250,217,4,4
85,117,87,12,253,152,0,99,255,67,218,77,251,102,4,133
85,147,61,12,221,200,252,45,255,50,216,118,252,128,254,106
85,148,197,12,217,108,252,140,0,187,217,24,252,131,253,196
85,149,37,12,214,131,252,104,2,30,219,82,252,205,253,73
85,150,65,12,210,189,251,210,3,4,220,214,252,217,253,78
85,169,37,12,208,235,250,36,0,43,230,38,250,158,255,114
85,170,252,12,210,74,251,24,255,131,226,208,250,6,255,142
85,171,140,12,211,71,252,64,255,103,221,40,247,203,255,254
85,172,6,12,211,144,253,11,255,13,216,213,246,229,0,251
